Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
berbgai khut bermanfaat untuk khalak khe ide positif edi me si nemu kukheken ide untuk lingkungen ni kuteku;berbagi bersama manfaat untuk orang itu ide positif itu yang bisa kita lakukan itu yang bisa kita terapkan di lingkungan keinginanku;NULL;;;;;;
lajang,  renang ni lawe alas sen bue edi hal si mahan aku senang ate;jalan-jalan, berenang di kali alas uang banyak itu suatu hal yang membuat hati senang;NULL;;;;;;
kite tetap kompak ulang egois ulang petendel ulang main semunyangen ulang emosi edi si mahan kite nemu mahan suati si mende;;NULL;;;;;;
ku tengo gelakhne gat senyumi iye babai tandok gedi me cakheku yapa jeme si aku tandai;;NULL;;;;;;
bahani plin ulang ngeluh selesaiken tuga begedime selesaiken tugas kane selesai ulang metele-tele;;NULL;;;;;;
ulang putoken kidingku ulang putoken tanganku ulanh dabuhken aku ulang ambongken aku ulang lajak aku begedime gat kate boneka e del iye nemu mecekhok;jangan fotokan kakiku jangan fotokan tangan ku jangan jatuhkan aku jangan campakkan aku jangan pihak aku begitulah kata Bone apa bila bisa ia berbicara ;NULL;;;;;;
hal si mejile, senyum,  cikhem,  ulang bodut me edi si nemu kukhen me khalak del mekhen sen malot senpe;;NULL;;;;;;
malot sen,  bue dose,  mangge sukse mange mapan edi me si kujenengi job wakhi tel kaeken dang gedi masene;nggak ada uang, banyak dosa, belum sukses dan belum mapan,ini yang selalu saya renungkan setiap hari,mau di bilang apa memang sudah masanya ;NULL;;;;;;
main bola khut imbang, ngawil,  main kelekheng, khidi ni lawe nangkih deleng edi me si nemu ku cekhiteken kebiasaenmu benin jabu soh be benin tetap semangag keninpe jabu;;NULL;;;;;;
buesene kadang kadangpe gat uwas atene putus cinte ataupe dang galau munking kene musibah edi mahanse iye luakhen lawe mate;banyak uangnya kadang selalu kasihan putus cintanya ataupun sekali galau mungkin karena musibah yang menimpa ya membuat iya mengeluarkan air mata;NULL;;;;;;
edi mahan get atene,  kane puji khalak iye mekhase khebat iye,  kane mantap tekhidah edi mahanse katekene hal si mejile tentang dikhine;;NULL;;;;;;
dang makhun kadang iye ataupe dang malot sehat edi mahanse gat sui atene gat sedihkap ne me gedi ge kebuenen khalak;sedang demam mungkin dia atau kerang sehat,mungkin itu yang buat sakit hatinya,dan sedih rasanya, kebanyakan orang begitu ;NULL;;;;;;
laus haji,  jadi khalak sukses sen bueh nemu bagi khejeki me khalak si tekhem me hal edi ge si nangat kite bahan bagas geluhnde;pergi haji, jadi org sukses,uang banyak bisa di bagikan rezeki sama orang lain hal begini yang pingin kita perbuat dalam hidup ini;NULL;;;;;;
budayene,  sukune,  jemene,  agamene,  bue tule gedangsu del cekhitekin edime mahan get ateku me indonesia mantap mde;;NULL;;;;;;
lot si taboh lot sipayah tegantung pimpinen khut situasi kas bahan kite edi me cehite kas bahanku;ada yang enak ada susah tergantung pimpinan sama situasi tempat kerja kita itulah cerita tempat kerjaku;NULL;;;;;;
mantap gat ku bahan ku bahan gat motif alas,  gayo aceh,  batak edi me gat ku bahan baju e;;NULL;;;;;;
ukukhen mejile bhagas geluhku, petebal iman khut akhlak mejile;;NULL;;;;;;
kekhene mungkin hakhapen khut kenyataen malot sesue;;NULL;;;;;;
khase mis khut melemak, kakhene dhue khase nicampukh;rasa manis dan lemak, karena dua rasa di campur;NULL;;;;;;
kalak tawe lot mbue sebab : pekhtame mungkin malot pikekhen cemekh. Kedhue mungkin keingenne nggo terkabul. ketelu mungkin sedhang lucu;;NULL;;;;;;
pekawinen bhagas nggeluh nde lotne ikaten antamhe dhu jeme anak khut khut anak aki si siap ndhalani nggeluh lhut-lhut soh ajal memisahken;;NULL;;;;;;
tanggung jawab laki bhagas mekhumah tanggebue, antakhe ne : napkah bhekhu lhut anak hakhus nipenuhi dan hakhus pikekhken kane pendidiken anak ;;NULL;;;;;;
ingeten si mahan aku senang : ingeten atope kisah-kisah si pekhnah mahan aku bhahagie, tekhutame cekhite mase-mase dhang cut kale;;NULL;;;;;;
pendapetku tentang hak anak laki bhagas khumah tangge, hak ne ndapetken pelayanen dhakhi bhekhune sesue atukhen agame, hak laki ngatukh keluakhge ne kane mende.;;NULL;;;;;;
hak anak bhekhu bhagas khumah tangge, hak ne ndapetken pelayanen sebage dhebhekhu sesue tuntuten agame, dan bekhhak mekheken didiken simejile untuk anggote keluakhge ne ;;NULL;;;;;;
kae pelin si kubhahani wakhi nde ni sekolah /kas mebhahan : pekhtame belajakh mace bhuku, khikhe jumlah, khut ngukhangken bhilangen ;;NULL;;;;;;
sikubhahani wakhi nde mbue, sembahyang, mangan, mace bhuku, njage kedhe, khut laus bhe empus muet galuh;;NULL;;;;;;
waktu aku jumpe khut imbangku die, pekhtame jumpe kami masetandanen waktu pekhtame mungket kuliah ni Medan, kenalen gat meteman soh sendah;;NULL;;;;;;
cakhe belinken anak-anak tentune kite cukupken kebutuhen ne khut pelakhe khut kasih sayang, pekhhatiken khut didik iye semampu kite;;NULL;;;;;;
mendoken,  chatingen khut fb,  email,  wa, twitter edime cakhe si nemu kulakuken sekhikhene lot imbangku ni dunie nde me go jelasge del gedi kite bahan kane nemu imbang kite e mekhaseken arti peretemanen kite kane senang atene;;NULL;;;;;;
khayak kidah bahanenku sendah dang berjuang aku ngurus website wisata edime si nemu kucekhiteken wakhinde sebenakhne bue tong kesibukenku bage nulia pelajakhen tentang kune mahan media mejile ni website kane got te khalak;banyak kerja ku sekarang lagi berjuang aku urusan website wisata itu lah yang bisa ku ceritakan hari ini sebenarnya masih banyak kesibukan ku seperti pelajaran tentang bagaimana cara membuat media bagus di website biar tau orang;NULL;;;;;;
senang me ateku tel lot sito sen alhamdulillah kite ucapken me gedikin tel kaeken dang gedi masene lot masene senang lot masene susah badai pasti berlalu intine kite sabakh ikhtiar sukukhi geluhne ulang buesu mengeluh;;NULL;;;;;;
khibut khu bekhu dak cocok khut tetante harus semangat gakhami khejeki ulang pelin minum kopi kane semangat okhang kite dab kite khakhus tangung jawab ulang dak tangung jawab kane selamat kekhine kaesi malotpe gat lot jadine;;NULL;;;;;;
khecek bage suakhe tekhok suare takengkong suakhe menci suakhe loba suakhe biang tutuh laye wabe hatu celake bage suakhe khalak pekhak suakhe khalak tembohen suakhe khalak pebual suakhe gedi me si malet ku geti ;;NULL;;;;;;
jinto motokh,  jinto khonda jito pelsawat jinto kude,  jinto lembu jinto odong-odong jinto kobo,  jinto kodisel,  jinto bemo jinto upih meraton khut imbang tekhem tekhem ataupe gat khut imbang medalan kiding me pantai me gedi ge cakhene;;NULL;;;;;;
semangat ulang mengeluh ulang penah lemes harus semangat ulang pebual ulang pepelin lemes, harus khajin displin dan kite ulang penah melawan me atasen kite harua senakhen bahani tugas kite dan kite harus memotivasi dikhi sendikhi;semangat jangan mengeluh jangan lemas harus semangat jangan berbohong jangan selalu lemas harus rajin disiplin dan kita jangan pernah melawan kepada atasan kita harus selalu membuat tugas kita dan kita harus motivasi diri sendiri;NULL;;;;;;
gelakhnepe nuntut ilmu kane baca kane nemu megune khut agame,  negakhe edime kite harus khajin mesekolah ulang dak khajin tel sendah akhi gati gat me sekolah gati gat laus me kas kuliah kanr sukses dan kane dak kite peningen kane malot ilmu;;NULL;;;;;;
khajin belajar,  khajin nabung kane bue sen kane got te khalak kane kite jadi khalak bayak nemu kite tukokh gat pesawat soh sekhatus bahkan nemu gat kite tukokh soh sekhibu del bue pesawat kite me taboh kite gat keliling duniepe;;NULL;;;;;;
jadi khalak soleh jadi khalak bayak begune me khalak si tekhe ulang jahat ulang jadi jemen laknat khut jeme si pepelin kumat nangat buah aku umrohken khabg tueku kane nemu laus me tanoh suci mekah al mukaramah ;jadi orang yang sholeh jadi orang yang banyak berguna kepada orang yang tua jangan jahat jangan jadi orang yang lagi nanti setelah itu menjadi orang yang selalu kuman selalu ingin buah aku lupakan kedua orang tuaku supaya bisa pergi ke tanah;NULL;;;;;;
si khakhaken nemu aku sikat gigi pul edi nelukh baju bakhu pakai resona guneken parpum guneken miak buk lot banakan si taboh bage kepiting,  siput jukut bekih sayukh yuh tabohne di edi me sikukhakhapken;;NULL;;;;;;
suke aku mangan sayukh kanr bue pitaminen nemu mahan bada kite jadi kuat mahan badan kite jadi sehat sangup kite gat ngebahani Aktivitas kaepe tanpa mekhase lelah edi me gunene kite khajin mangan sayukh ulang lemes;;NULL;;;;;;
buesu kidah masalah go ni negakhe  de pe toh nae intine sendah kite ikuti si lukhus plin si salah kite tadingken ulang mudah kite kene pancing gat mahan gelukhte emosi dan malot megune intine semangat plin;;NULL;;;;;;
mengket kamakh mandi bace doe luakh kamakh mandi bace doe mengkete masjid bace doe luakh masjid bace doe mangan baca doe pul manganpe bace doe sikel belajakh bace doe pul belajakhpe bace doe edime khajin bace doe kane kite jadi jeme begune;;NULL;;;;;;
khe mangan khe sen khe perhatien eni amin situkhune si kite khe e amin si gone tel kahalak del malot kite khe kaepe khalak muyang amin te khalak lot kane pe lot da lot gat malot pot edi me sisalah ulang biaseken;;NULL;;;;;;
cakhe ngkelule bhinatang pelakhe'en tentune khawat mejile khut pekhatiken mangan ne, kas ne.;;NULL;;;;;;
mimpiku si paling aneh si pekhnah kualami jumpe khut hantu, hantu ne malot metakal;;NULL;;;;;;
cakheku kane megune bhe bhahanenku, tentune te lot bhahanen senakh ku siapken pas waktune;;NULL;;;;;;
te menukhutku si paling malot mende bhagas dunie nde : pekhobut bhe jabaten khut hakhte, khangtue malot nipelakhe mende;;NULL;;;;;;
ingeten si mahan aku sedih, tekhinget mase ndubhe nggeluh ni kute kalak malot bhekas ngadhu ise pe;;NULL;;;;;;
cakhe mahan dhikhi bahagie malot lain selain taat bhe Tuhan, amalken kae sukhuh sidhe, te nggo gedhi tentu ate pe tenang khut bahagie ;;NULL;;;;;;
hal-hal ato pe pekhkakhe si mahan ate senang belajakh bahase lain, tentune lot tujuen si sikel nicape;;NULL;;;;;;
hal si mahan ate kesal kalihen, ketike janji malot nitepati, sikite hakhapken malot tekhcape bage pidonen ate;;NULL;;;;;;
menukhutku, imbang sekelas ku si bhacakh kakhene khajin iye melajakh khut nggati ngulangi bacanen ni khumah;;NULL;;;;;;
hal si paling mende khak pedhalanen libukhenku, nemu lajang ngato-ngato bhe luakh daekhah, sekalien mangan-mangan penangan khas suku lain ;;NULL;;;;;;
hal-hal si mu mengalihken kesekhiusenku, tentune bage tekhlalu mbuesu tawe, megukhou;;NULL;;;;;;
te aku mahani gue ni deleng, te mu gue ne lubhahani bage khumah, kane nemu bhagas ntadhi sambil nenangken ate;;NULL;;;;;;
bermanfaat me jeme si tekhem edi mesiku khakhapken;bermanfaat untuk orang ramai itu yang saya harapkan ;NULL;;;;;;
saling mecinte mangan ni kafe edi me kenangen khut khamahku;saling mencintai dan makan dicafe itulah kenangan dengan pacar ;NULL;;;;;;
menolong khalak tekhem ataupe tentang payung alas;;NULL;;;;;;
jadi khalak baik khut manfaat ku khase edipe cukup;;NULL;;;;;;
bue cobaen gelukh edime si kualami selamen gelukh nde;;NULL;;;;;;
jumpe ni kafe me gedi cakhene kane jumpe;;NULL;;;;;;
bue khejeki ibadah lancakh edi wakhi si mejile;;NULL;;;;;;
tekhime kae si lotne syukukhi kaepe si lot bagas ngeluh nde;;NULL;;;;;;
mantap flim e tel khamah me wajakh anak2 hobi;;NULL;;;;;;
pilih kae si benakh ulang tukhuti napsu kase selamat;pilih apa yang benar jangan turuti nafsu biar selamat;NULL;;;;;;
malot mende tingkah lakune kae ai geti senakhenahen mahan mesui ate;;NULL;;;;;;
bahani bahanen kae si lot bage bahani projek khut macamlah kae si lot bahani plin;;NULL;;;;;;
tong nemu ibadah tong sekhat malot kaepe si kukhang ;;NULL;;;;;;
nangat iye te kenal kaeken yang penting kite tunjuken prestasi khut ke hebaten kite;;NULL;;;;;;
mangan khut khang tue plin edi amin situkhune kane selamat;;NULL;;;;;;
ulang bue ulah ulang bue tingkah edime hubungen si sehat e;;NULL;;;;;;
khamah kukap aplikasi nde nemu nambah wawasen ;;NULL;;;;;;
menunjuken kebudayaen kite khut mempelajarise;;NULL;;;;;;
mendokan memberikan materi memotivasi pemuda pemudi kane semagat dalani geluh;;NULL;;;;;;
makanen khang agat gat ku bukai kutasak i kekhine menue gat;;NULL;;;;;;
biase plin kae si lot syukukhi plin ngeluh nde sementakhe amib;;NULL;;;;;;
suakhe mace,  suakhe sholawat edi amin situkhune ;;NULL;;;;;;
jumpe khut dokter gile sepah wabe celake malot megune;;NULL;;;;;;
mekhumah tangge amin ni mase depan lot khejeki ;;NULL;;;;;;
sabakh tekhime kehine me lot pagi masene jumpe tule;;NULL;;;;;;
toh nae buesu si sikel ku cekhiteken nahan ku cekhiteken malot sangup megekense;;NULL;;;;;;
su sebut bane gekhe mbelin gekhe mekhanak kane nemu kurban;;NULL;;;;;;
pentinglah jabu e amin si tukhune khalak e malot tukhu edi;;NULL;;;;;;
pemekhintakh edi gakhami pekhoyelk amin gayene;;NULL;;;;;;
nemi tong ibadah nemu tong mangan me gedi ge;;NULL;;;;;;
khajin plin belajar tong semangat makan lembut males kalikhen mace;;NULL;;;;;;
mantep me aku lot kukhangnepe khayak kalihen ni dunie nde;;NULL;;;;;;
manis,  mbacakh khajin luluh ateku bahane cinte aku mbane kalihen;;NULL;;;;;;
musyawarah kane selesai masalah e ndak nae mbelin;;NULL;;;;;;
gakhami kas khami kane ndak jenjn melakuken hubungen;;NULL;;;;;;
demokerasi tepat nine untuk saat sendah nde tel kune kite bahan;;NULL;;;;;;
ciduken edime cinte khut kasih sayanh si benakh bagas ngeluh;;NULL;;;;;;
kae si positi edi hal senakhen ku anggap penting;;NULL;;;;;;
mantap kidah aplikasi nde tapi citoksu kidah sene poinpe citok amin khene;;NULL;;;;;;
donohme nda gelakhnepe mek khut anak me senakhen khakhus donoh;;NULL;;;;;;
sahabat e khalak si senakhen lot me kite baik dalam situasi senang ataupe dang susah;;NULL;;;;;;
menjalani bahane khut komunikasi me edi amin si kite bahani;;NULL;;;;;;
nemulah kane bahasa indonesia e bahasa mantap khakhus jadiken bahasa dunie;;NULL;;;;;;
donohme me khakhus donoh khit jabu jabu belin ataupe cut;;NULL;;;;;;
ulang lot khasie antakhe du jeme del dalani hubungen;;NULL;;;;;;
khang tue kane mangge nemu kite bahagieken sepenuhne;;NULL;;;;;;
tong lot nikmat sehat sendah nde nemu tong ibadah ;;NULL;;;;;;
nabi muhammad saw kane si si babe kite me dalan si mende;;NULL;;;;;;
gunung alam mantap kehine segar kite del mengket bagas luakh biase memang;;NULL;;;;;;
manis kadang pepelin tembohen edi me si kusukai iye akhi;;NULL;;;;;;
mantap del khut jeme pas del daj pas gat malot mantap;;NULL;;;;;;
ngakhami ilmu edi mahan kite lot ispirasi bagas ngeluh;;NULL;;;;;;
teman khut pasangen duenepe penting maso ni bede bedeken malot mende;;NULL;;;;;;
ikan mas mantap kidah nemu gorengpe nemu panganpe;;NULL;;;;;;
kasih sayang si malot me batas memang sen pe penting sendah nde;;NULL;;;;;;
tandok buet lawe uduk ataupe gat sip atau galang intine ulang emosi;;NULL;;;;;;
malot kutoh edi tukhan kekhine metohse kite dalani plin;;NULL;;;;;;
mengket iye me bumo gat luakh gat edi mahanse iye gat hangay;;NULL;;;;;;
malot kinget nae tel go dekah dan engo metue gelakhnepe;;NULL;;;;;;
khajin ibadah kuatken iman khut taqwa kite ulang macam2 ulang mahan si aneh2;;NULL;;;;;;
lot khumah lot sen lot kekhine intine cukup;;NULL;;;;;;
aku nemu bahan khut tim nemu kompak nemu displin nemu bergabung nemu bahan kaepe yang penting halal;;NULL;;;;;;
iye mecekhok khut bahase hewan e bage manusie mecekhok;;NULL;;;;;;
del nagkih pagi kite jadi khalak mbelin ulang sombong kite khakhus kite menolong imbang khut jabu;;NULL;;;;;;
terus belajakh tekhus semangat ulang kendokh lakuken kae si nemu kite lakiken ulang males;;NULL;;;;;;
si khajine iye go cinte me buku e go bacakh iye makane senakhen iye mbace bukh;;NULL;;;;;;
ulang mahan khibut ulang nate nate kenin plin gelukh ikuti atukhe;;NULL;;;;;;
emosi kiye nemukin kite mbuet keputusen ni saat kite sip ataupe ni saat kita sedang emosi;emosi kita bisakah kita ambil keputusan di saat kita diam ataupun di saat kita sedang emosi ;NULL;;;;;;
nampang gati aku galang kadang malot pot ibadah lot males edime kekukhangenku;;NULL;;;;;;
kecerdasen jeme waktu menyelesaiken soal bagas ngeluh ataupe soal tes bagas buku;kecerdasan orang di waktu menyelesaikan permasalahan  dalam hidup ataupun soal dalam buku;NULL;;;;;;
santay egeken musik ataupe gat lajang me kas wisata ataupe mangan edime hamanse kite tenang menukhutku;santai dengarkan lagu,atau bermain ketempat wisata atau makan enak itu yang membuat kita tenang menurut saya ;NULL;;;;;;
aku anak laki sendah sedang berjuang hobiku renang khut bahan ni kas wisata;;NULL;;;;;;
iye lot keahlien khususne edi mahanse payah kite ngetohki kasne;;NULL;;;;;;
ni khumah khakhus bosih ulang jadi jeme pecemak del cemak muyang ningku;;NULL;;;;;;
kite khahus jujukh geluh nde sekali amin kae si kite lakuken edi pagi si ni tuntut;;NULL;;;;;;
ulang bahan kahalak sekhik ulang mahan khalak susah del susah kite bahan khalak malot mende kite;;NULL;;;;;;
ibadah khalak si senakhen jagene job wakhi malot tading senakhen iye megukhu;ibadah orang yang selalu terjaga setiap hari tidak pernah tinggal selalu dia belajar;NULL;;;;;;
kenang waktu jadi duta wisata jumpe khut bue khalak nemu medem ni hotel mewah;;NULL;;;;;;
iye setie mekhimbang malot putut pot geluakhi sen pe malot gat perhitungwn;;NULL;;;;;;
ku mekhase aceh si mantapne tempat untuk sendahnde edi si jilene kidah;;NULL;;;;;;
ni perhatiken ni sayangi ni masikhi edi si kukhasen dan mahan aku mekase nicintai;;NULL;;;;;;
nonton khut managan khut lajang khut main game khut joging khut;;NULL;;;;;;
diel gati aku joging ku jage kesehaten gati aku hidi lawe alas edi mahanse aku gedang gat;;NULL;;;;;;
mikekhi mase depan ntah digan nemu digan nemu aku nde sukses edi dang mahan aku melamun;mikirin masa depan entah kapan bisa kapan bisa aku jadi sukses itu yang membuat aku melamun;NULL;;;;;;
menunjuken empati kite bahwa kite memang peduli me khalak;;NULL;;;;;;
konsetekhasi ulang megadang bongi kane pokus kite mahani bahane kite;;NULL;;;;;;
geluhken khase kepedulien kite me khalak ulang kite males males ;;NULL;;;;;;
kane selamat dunie akhirat kite khakhus me bakti me hang tue ulang bue tingkah kite;;NULL;;;;;;
buku adat alas gat kutulis kane bue toh anak mude tentang bukue;;NULL;;;;;;
pul magan taboh gat lot kidah energiku luakh belin gat energiku si kuluakhken;;NULL;;;;;;
bentukne pas me badan ketike ni pakek mekhase taboh mantap nikmat;;NULL;;;;;;
mekhe perhatien me khalak lain laus lajang gat mangan gat tandok due alak amin edi si malot nemu kite lakuken;kasih perhatian sama orang lain pergi jalan-jalan terus makan terus duduk dua orang saja itu tidak bisa kita lakukan ;NULL;;;;;;
lot pisik si mantap edi mahan kite berani ngelakuken kite kuat;;NULL;;;;;;
malot pas bangu gurune malot tetah pelajakhen payah kukap edi mahanse ndak pas;;NULL;;;;;;
karaterku ganteng baik aku me jadi khebuten bagas flim e;;NULL;;;;;;
khut media plin cekhite ataupe gat saling medoken tel misalne bahan gat konser jumpe job mingu;bersama media aja cerita kalau tidak saling mendoakan misal nya buat trus konser ketemu setiap minggu;NULL;;;;;;
ketike aku mekhase jatuh cinte khut nakhu si mejilen ni lota e iye manis manis kalihen;;NULL;;;;;;
lajang me malaysia jumpe khut khang tue go dekah kami dak jumpe;;NULL;;;;;;
nemu tong ibadah edi mahan aku mesyukukh bagas ngeluh nde;;NULL;;;;;;
ku kateken mbanr kae si bangku kau cekhitenken si dsk mende sendah kukap;;NULL;;;;;;
kane bosih lingkungen kite kane mende lingkungen kite;;NULL;;;;;;
lajang me. ketambe jumpe khutnorang utan sedang mangan daun ;;NULL;;;;;;
hagene murah nemu kite belanje bue hal edi mahanse kite milih belanje ni pasakh;;NULL;;;;;;
manek i go nenge lokokh bue tingkah soh mantap sok mende padahel monpl;;NULL;;;;;;
mekhabiskenwaktu khut imbang ku khase terjun payung e si mantapne nda;;NULL;;;;;;
pepelin chaten kadang gat nelpon khut naki edi mahan aku ndak nyaman ;;NULL;;;;;;
nonton matuwakhi sikel tengelem khut sikel metak;;NULL;;;;;;
malot kidah gat taboh dak tel lampupe malot gelap plin;;NULL;;;;;;
elvita e wayang kidah jutekne wayang kidah gat sombongne iye bangkupe;;NULL;;;;;;
biase plin yang penting bahagie kedue mempelai ulang gat bue utang;;NULL;;;;;;
mahani tugas bahane bage ngetik blog post photo ni mediaku;;NULL;;;;;;
tel pilihenkue mantap walaupe salag setidakne aku dak kecewe khut pilihen ku;;NULL;;;;;;
mantap kidah aplikasi nemu kite belajar bue dapet jawabpen pertanyaen dan nemu dapet kate si as;;NULL;;;;;;
senang ate dak tekate cinteku go kau tekhime;;NULL;;;;;;
jumpe khut imbang mangan ni kantin edi taboh kidah kalihen nemu mangan ni kantin;;NULL;;;;;;
didik e mantan kidah konten ne nemu kite beljakh bue bage;;NULL;;;;;;
gandi tel iye manta bulis kalihen mantan iye angap khalak kidah;;NULL;;;;;;
mange si kusai kane khasene mis kalihen mahan ate senang;;NULL;;;;;;
kane taboh kasne pemandangenpe mantap kidah kalihen edi mahanse pot aku lajang me kas edi;;NULL;;;;;;
senakhen lakuken hal positif si mahan kite senang;;NULL;;;;;;
cemak kidah kasne sampahpe khayak kidah ni pasakhne entah ketekhe bingung kadang akupe ngato edi tel kaeken dang gedi masene;;NULL;;;;;;
mungkin bahane jeme kehine akan ni alihken jadi bahanen robot kemungkinen gedi menurutku edi;;NULL;;;;;;
