Alas;Indo;Domain
kekhene mungkin hakhapen khut kenyataen malot sesue;;Story/narrative
khase mis khut melemak, kakhene dhue khase nicampukh;rasa manis dan lemak, karena dua rasa di campur;Story/narrative
kalak tawe lot mbue sebab : pekhtame mungkin malot pikekhen cemekh. Kedhue mungkin keingenne nggo terkabul. ketelu mungkin sedhang lucu;;Story/narrative
pekawinen bhagas nggeluh nde lotne ikaten antamhe dhu jeme anak khut khut anak aki si siap ndhalani nggeluh lhut-lhut soh ajal memisahken;;Culture/Tourism
tanggung jawab laki bhagas mekhumah tanggebue, antakhe ne : napkah bhekhu lhut anak hakhus nipenuhi dan hakhus pikekhken kane pendidiken anak ;;Story/narrative
ingeten si mahan aku senang : ingeten atope kisah-kisah si pekhnah mahan aku bhahagie, tekhutame cekhite mase-mase dhang cut kale;;Story/narrative
pendapetku tentang hak anak laki bhagas khumah tangge, hak ne ndapetken pelayanen dhakhi bhekhune sesue atukhen agame, hak laki ngatukh keluakhge ne kane mende.;;Story/narrative
hak anak bhekhu bhagas khumah tangge, hak ne ndapetken pelayanen sebage dhebhekhu sesue tuntuten agame, dan bekhhak mekheken didiken simejile untuk anggote keluakhge ne ;;Story/narrative
kae pelin si kubhahani wakhi nde ni sekolah /kas mebhahan : pekhtame belajakh mace bhuku, khikhe jumlah, khut ngukhangken bhilangen ;;Story/narrative
sikubhahani wakhi nde mbue, sembahyang, mangan, mace bhuku, njage kedhe, khut laus bhe empus muet galuh;;Story/narrative
waktu aku jumpe khut imbangku die, pekhtame jumpe kami masetandanen waktu pekhtame mungket kuliah ni Medan, kenalen gat meteman soh sendah;;Story/narrative
cakhe belinken anak-anak tentune kite cukupken kebutuhen ne khut pelakhe khut kasih sayang, pekhhatiken khut didik iye semampu kite;cara membesarkan anak anak tentunya kita cukup kan kebutuhannya pelihara dengan kasih sayang perhatikan dan didik semampu kita ;Instructions
mendoken,  chatingen khut fb,  email,  wa, twitter edime cakhe si nemu kulakuken sekhikhene lot imbangku ni dunie nde me go jelasge del gedi kite bahan kane nemu imbang kite e mekhaseken arti peretemanen kite kane senang atene;;Story/narrative
khayak kidah bahanenku sendah dang berjuang aku ngurus website wisata edime si nemu kucekhiteken wakhinde sebenakhne bue tong kesibukenku bage nulia pelajakhen tentang kune mahan media mejile ni website kane got te khalak;banyak kerja ku sekarang lagi berjuang aku urusan website wisata itu lah yang bisa ku ceritakan hari ini sebenarnya masih banyak kesibukan ku seperti pelajaran tentang bagaimana cara membuat media bagus di website biar tau orang;Story/narrative
senang me ateku tel lot sito sen alhamdulillah kite ucapken me gedikin tel kaeken dang gedi masene lot masene senang lot masene susah badai pasti berlalu intine kite sabakh ikhtiar sukukhi geluhne ulang buesu mengeluh;;Story/narrative
khibut khu bekhu dak cocok khut tetante harus semangat gakhami khejeki ulang pelin minum kopi kane semangat okhang kite dab kite khakhus tangung jawab ulang dak tangung jawab kane selamat kekhine kaesi malotpe gat lot jadine;;Story/narrative
khecek bage suakhe tekhok suare takengkong suakhe menci suakhe loba suakhe biang tutuh laye wabe hatu celake bage suakhe khalak pekhak suakhe khalak tembohen suakhe khalak pebual suakhe gedi me si malet ku geti ;;Story/narrative
jinto motokh,  jinto khonda jito pelsawat jinto kude,  jinto lembu jinto odong-odong jinto kobo,  jinto kodisel,  jinto bemo jinto upih meraton khut imbang tekhem tekhem ataupe gat khut imbang medalan kiding me pantai me gedi ge cakhene;;Instructions
semangat ulang mengeluh ulang penah lemes harus semangat ulang pebual ulang pepelin lemes, harus khajin displin dan kite ulang penah melawan me atasen kite harua senakhen bahani tugas kite dan kite harus memotivasi dikhi sendikhi;semangat jangan mengeluh jangan lemas harus semangat jangan berbohong jangan selalu lemas harus rajin disiplin dan kita jangan pernah melawan kepada atasan kita harus selalu membuat tugas kita dan kita harus motivasi diri sendiri;Story/narrative
gelakhnepe nuntut ilmu kane baca kane nemu megune khut agame,  negakhe edime kite harus khajin mesekolah ulang dak khajin tel sendah akhi gati gat me sekolah gati gat laus me kas kuliah kanr sukses dan kane dak kite peningen kane malot ilmu;;Story/narrative
khajin belajar,  khajin nabung kane bue sen kane got te khalak kane kite jadi khalak bayak nemu kite tukokh gat pesawat soh sekhatus bahkan nemu gat kite tukokh soh sekhibu del bue pesawat kite me taboh kite gat keliling duniepe;;Culture/Tourism
jadi khalak soleh jadi khalak bayak begune me khalak si tekhe ulang jahat ulang jadi jemen laknat khut jeme si pepelin kumat nangat buah aku umrohken khabg tueku kane nemu laus me tanoh suci mekah al mukaramah ;jadi orang yang sholeh jadi orang yang banyak berguna kepada orang yang tua jangan jahat jangan jadi orang yang lagi nanti setelah itu menjadi orang yang selalu kuman selalu ingin buah aku lupakan kedua orang tuaku supaya bisa pergi ke tanah;Story/narrative
si khakhaken nemu aku sikat gigi pul edi nelukh baju bakhu pakai resona guneken parpum guneken miak buk lot banakan si taboh bage kepiting,  siput jukut bekih sayukh yuh tabohne di edi me sikukhakhapken;;Story/narrative
suke aku mangan sayukh kanr bue pitaminen nemu mahan bada kite jadi kuat mahan badan kite jadi sehat sangup kite gat ngebahani Aktivitas kaepe tanpa mekhase lelah edi me gunene kite khajin mangan sayukh ulang lemes;;Story/narrative
buesu kidah masalah go ni negakhe  de pe toh nae intine sendah kite ikuti si lukhus plin si salah kite tadingken ulang mudah kite kene pancing gat mahan gelukhte emosi dan malot megune intine semangat plin;sudah banyak sekali masalah yang sudah di negara ini nggak tau lagi intinya sekarang kita ikuti yang luruysaja yang salah kita tinggalkan jangan mudah kita terpancing membuat kita emosi dan tidak ada gunanya semangat saja;Story/narrative
mengket kamakh mandi bace doe luakh kamakh mandi bace doe mengkete masjid bace doe luakh masjid bace doe mangan baca doe pul manganpe bace doe sikel belajakh bace doe pul belajakhpe bace doe edime khajin bace doe kane kite jadi jeme begune;;Story/narrative
khe mangan khe sen khe perhatien eni amin situkhune si kite khe e amin si gone tel kahalak del malot kite khe kaepe khalak muyang amin te khalak lot kane pe lot da lot gat malot pot edi me sisalah ulang biaseken;;Story/narrative
cakhe ngkelule bhinatang pelakhe'en tentune khawat mejile khut pekhatiken mangan ne, kas ne.;;Instructions
mimpiku si paling aneh si pekhnah kualami jumpe khut hantu, hantu ne malot metakal;;Story/narrative
cakheku kane megune bhe bhahanenku, tentune te lot bhahanen senakh ku siapken pas waktune;;Instructions
te menukhutku si paling malot mende bhagas dunie nde : pekhobut bhe jabaten khut hakhte, khangtue malot nipelakhe mende;;Story/narrative
ingeten si mahan aku sedih, tekhinget mase ndubhe nggeluh ni kute kalak malot bhekas ngadhu ise pe;;Story/narrative
cakhe mahan dhikhi bahagie malot lain selain taat bhe Tuhan, amalken kae sukhuh sidhe, te nggo gedhi tentu ate pe tenang khut bahagie ;;Instructions
hal-hal ato pe pekhkakhe si mahan ate senang belajakh bahase lain, tentune lot tujuen si sikel nicape;;Culture/Tourism
hal si mahan ate kesal kalihen, ketike janji malot nitepati, sikite hakhapken malot tekhcape bage pidonen ate;;Story/narrative
menukhutku, imbang sekelas ku si bhacakh kakhene khajin iye melajakh khut nggati ngulangi bacanen ni khumah;;Story/narrative
hal si paling mende khak pedhalanen libukhenku, nemu lajang ngato-ngato bhe luakh daekhah, sekalien mangan-mangan penangan khas suku lain ;;Culture/Tourism
hal-hal si mu mengalihken kesekhiusenku, tentune bage tekhlalu mbuesu tawe, megukhou;;Story/narrative
te aku mahani gue ni deleng, te mu gue ne lubhahani bage khumah, kane nemu bhagas ntadhi sambil nenangken ate;;Story/narrative
bermanfaat me jeme si tekhem edi mesiku khakhapken;bermanfaat untuk orang ramai itu yang saya harapkan ;Story/narrative
saling mecinte mangan ni kafe edi me kenangen khut khamahku;saling mencintai dan makan dicafe itulah kenangan dengan pacar ;Story/narrative
menolong khalak tekhem ataupe tentang payung alas;;Story/narrative
jadi khalak baik khut manfaat ku khase edipe cukup;;Story/narrative
bue cobaen gelukh edime si kualami selamen gelukh nde;;Story/narrative
jumpe ni kafe me gedi cakhene kane jumpe;;Story/narrative
bue khejeki ibadah lancakh edi wakhi si mejile;;Story/narrative
tekhime kae si lotne syukukhi kaepe si lot bagas ngeluh nde;;Story/narrative
mantap flim e tel khamah me wajakh anak2 hobi;bagus filmnya kalau pacar wajar anak-anak tidak hobi;Story/narrative
pilih kae si benakh ulang tukhuti napsu kase selamat;pilih apa yang benar jangan turuti nafsu biar selamat;Story/narrative
malot mende tingkah lakune kae ai geti senakhenahen mahan mesui ate;;Story/narrative
bahani bahanen kae si lot bage bahani projek khut macamlah kae si lot bahani plin;;Story/narrative
tong nemu ibadah tong sekhat malot kaepe si kukhang ;;Story/narrative
nangat iye te kenal kaeken yang penting kite tunjuken prestasi khut ke hebaten kite;;Story/narrative
mangan khut khang tue plin edi amin situkhune kane selamat;;Story/narrative
ulang bue ulah ulang bue tingkah edime hubungen si sehat e;;Story/narrative
khamah kukap aplikasi nde nemu nambah wawasen ;;Story/narrative
menunjuken kebudayaen kite khut mempelajarise;;Culture/Tourism
mendokan memberikan materi memotivasi pemuda pemudi kane semagat dalani geluh;;Story/narrative
makanen khang agat gat ku bukai kutasak i kekhine menue gat;;Story/narrative
biase plin kae si lot syukukhi plin ngeluh nde sementakhe amib;;Story/narrative
suakhe mace,  suakhe sholawat edi amin situkhune ;;Story/narrative
jumpe khut dokter gile sepah wabe celake malot megune;;Story/narrative
mekhumah tangge amin ni mase depan lot khejeki ;;Story/narrative
sabakh tekhime kehine me lot pagi masene jumpe tule;;Story/narrative
toh nae buesu si sikel ku cekhiteken nahan ku cekhiteken malot sangup megekense;;Story/narrative
su sebut bane gekhe mbelin gekhe mekhanak kane nemu kurban;;Story/narrative
pentinglah jabu e amin si tukhune khalak e malot tukhu edi;;Culture/Tourism
pemekhintakh edi gakhami pekhoyelk amin gayene;;Culture/Tourism
nemi tong ibadah nemu tong mangan me gedi ge;;Story/narrative
khajin plin belajar tong semangat makan lembut males kalikhen mace;;Story/narrative
mantep me aku lot kukhangnepe khayak kalihen ni dunie nde;;Story/narrative
musyawarah kane selesai masalah e ndak nae mbelin;;Instructions
gakhami kas khami kane ndak jenjn melakuken hubungen;;Story/narrative
ciduken edime cinte khut kasih sayanh si benakh bagas ngeluh;;Story/narrative
kae si positi edi hal senakhen ku anggap penting;;Story/narrative
mantap kidah aplikasi nde tapi citoksu kidah sene poinpe citok amin khene;;Story/narrative
donohme nda gelakhnepe mek khut anak me senakhen khakhus donoh;;Story/narrative
sahabat e khalak si senakhen lot me kite baik dalam situasi senang ataupe dang susah;;Story/narrative
menjalani bahane khut komunikasi me edi amin si kite bahani;;Story/narrative
nemulah kane bahasa indonesia e bahasa mantap khakhus jadiken bahasa dunie;;Culture/Tourism
ulang lot khasie antakhe du jeme del dalani hubungen;;Story/narrative
khang tue kane mangge nemu kite bahagieken sepenuhne;;Story/narrative
tong lot nikmat sehat sendah nde nemu tong ibadah ;;Story/narrative
nabi muhammad saw kane si si babe kite me dalan si mende;;Story/narrative
gunung alam mantap kehine segar kite del mengket bagas luakh biase memang;;Culture/Tourism
manis kadang pepelin tembohen edi me si kusukai iye akhi;;Story/narrative
mantap del khut jeme pas del daj pas gat malot mantap;;Story/narrative
ngakhami ilmu edi mahan kite lot ispirasi bagas ngeluh;;Story/narrative
teman khut pasangen duenepe penting maso ni bede bedeken malot mende;;Story/narrative
ikan mas mantap kidah nemu gorengpe nemu panganpe;;Story/narrative
kasih sayang si malot me batas memang sen pe penting sendah nde;;Story/narrative
malot kutoh edi tukhan kekhine metohse kite dalani plin;;Story/narrative
mengket iye me bumo gat luakh gat edi mahanse iye gat hangay;;History
malot kinget nae tel go dekah dan engo metue gelakhnepe;;Story/narrative
khajin ibadah kuatken iman khut taqwa kite ulang macam2 ulang mahan si aneh2;;Story/narrative
lot khumah lot sen lot kekhine intine cukup;;Story/narrative
aku nemu bahan khut tim nemu kompak nemu displin nemu bergabung nemu bahan kaepe yang penting halal;;Story/narrative
iye mecekhok khut bahase hewan e bage manusie mecekhok;;Story/narrative
del nagkih pagi kite jadi khalak mbelin ulang sombong kite khakhus kite menolong imbang khut jabu;;Story/narrative
terus belajakh tekhus semangat ulang kendokh lakuken kae si nemu kite lakiken ulang males;;Instructions
si khajine iye go cinte me buku e go bacakh iye makane senakhen iye mbace bukh;;Story/narrative
emosi kiye nemukin kite mbuet keputusen ni saat kite sip ataupe ni saat kita sedang emosi;emosi kita bisakah kita ambil keputusan di saat kita diam ataupun di saat kita sedang emosi ;Story/narrative
nampang gati aku galang kadang malot pot ibadah lot males edime kekukhangenku;;Story/narrative
kecerdasen jeme waktu menyelesaiken soal bagas ngeluh ataupe soal tes bagas buku;kecerdasan orang di waktu menyelesaikan permasalahan  dalam hidup ataupun soal dalam buku;Story/narrative
santay egeken musik ataupe gat lajang me kas wisata ataupe mangan edime hamanse kite tenang menukhutku;santai dengarkan lagu,atau bermain ketempat wisata atau makan enak itu yang membuat kita tenang menurut saya ;Story/narrative
aku anak laki sendah sedang berjuang hobiku renang khut bahan ni kas wisata;;Story/narrative
iye lot keahlien khususne edi mahanse payah kite ngetohki kasne;;Story/narrative
ni khumah khakhus bosih ulang jadi jeme pecemak del cemak muyang ningku;;Story/narrative
kite khahus jujukh geluh nde sekali amin kae si kite lakuken edi pagi si ni tuntut;;Story/narrative
ulang bahan kahalak sekhik ulang mahan khalak susah del susah kite bahan khalak malot mende kite;;Story/narrative
ibadah khalak si senakhen jagene job wakhi malot tading senakhen iye megukhu;ibadah orang yang selalu terjaga setiap hari tidak pernah tinggal selalu dia belajar;Story/narrative
kenang waktu jadi duta wisata jumpe khut bue khalak nemu medem ni hotel mewah;;Story/narrative
iye setie mekhimbang malot putut pot geluakhi sen pe malot gat perhitungwn;;Story/narrative
ku mekhase aceh si mantapne tempat untuk sendahnde edi si jilene kidah;;Culture/Tourism
ni perhatiken ni sayangi ni masikhi edi si kukhasen dan mahan aku mekase nicintai;;Story/narrative
nonton khut managan khut lajang khut main game khut joging khut;;Story/narrative
diel gati aku joging ku jage kesehaten gati aku hidi lawe alas edi mahanse aku gedang gat;;Instructions
menunjuken empati kite bahwa kite memang peduli me khalak;;Instructions
konsetekhasi ulang megadang bongi kane pokus kite mahani bahane kite;;Instructions
geluhken khase kepedulien kite me khalak ulang kite males males ;;Story/narrative
kane selamat dunie akhirat kite khakhus me bakti me hang tue ulang bue tingkah kite;;Story/narrative
buku adat alas gat kutulis kane bue toh anak mude tentang bukue;;Story/narrative
pul magan taboh gat lot kidah energiku luakh belin gat energiku si kuluakhken;;Story/narrative
bentukne pas me badan ketike ni pakek mekhase taboh mantap nikmat;;Story/narrative
mekhe perhatien me khalak lain laus lajang gat mangan gat tandok due alak amin edi si malot nemu kite lakuken;kasih perhatian sama orang lain pergi jalan-jalan terus makan terus duduk dua orang saja itu tidak bisa kita lakukan ;Story/narrative
lot pisik si mantap edi mahan kite berani ngelakuken kite kuat;;Story/narrative
malot pas bangu gurune malot tetah pelajakhen payah kukap edi mahanse ndak pas;;Story/narrative
khut media plin cekhite ataupe gat saling medoken tel misalne bahan gat konser jumpe job mingu;bersama media aja cerita kalau tidak saling mendoakan misal nya buat trus konser ketemu setiap minggu;Instructions
ketike aku mekhase jatuh cinte khut nakhu si mejilen ni lota e iye manis manis kalihen;;Story/narrative
lajang me malaysia jumpe khut khang tue go dekah kami dak jumpe;;Culture/Tourism
nemu tong ibadah edi mahan aku mesyukukh bagas ngeluh nde;;Story/narrative
ku kateken mbanr kae si bangku kau cekhitenken si dsk mende sendah kukap;;Story/narrative
kane bosih lingkungen kite kane mende lingkungen kite;;Story/narrative
lajang me. ketambe jumpe khutnorang utan sedang mangan daun ;;Culture/Tourism
hagene murah nemu kite belanje bue hal edi mahanse kite milih belanje ni pasakh;;Story/narrative
manek i go nenge lokokh bue tingkah soh mantap sok mende padahel monpl;;Story/narrative
